,node,community
0,people,0
1,"jared,jesus,people,stacy",0
2,"baptist,church,spotswood",0
3,"jared,stacy",0
4,"bush,district,fredericksburg,government,illuminati,trump",1
5,"jared,reuters,stacy",1
6,"german,one,people,walmart,war,world",1
7,jaredhoffmaneverett,1
8,"day,entertainment,life,news,people,social",0
9,"american,citizen,government,patriot,people,workingclass",2
10,"agent,america,central,clarke,kristen,lol",2
11,"lie,life,one,people,real,social",3
12,"hahahahaha,initiative,ive,many,next,one",4
13,"good,great,ive,people,right,truth",5
14,"christic,every,institute,people,river,whole",6
15,"11th,ive,life,one,sweden,talk",3
16,"executive,life,north,oliver,people,rivera",7
17,"control,john,like,new,people,post",8
18,conspiracy,9
19,"conspiracy,lol,many,people,tukey,world",3
20,"many,people",0
21,"agency,conspiracy,investigator,many,people,time",9
22,"american,black,many,people,time,update",0
23,"country,gun,guy,jesus,people,rodriguez",10
24,"jesus,lie,many,people,real,year",9
25,"conspiracy,fuck,lie,like,people,real",3
26,"cant,conspiracy,like,one,people,trump",3
27,"agent,cocaine,conspiracy,dea,drug,virus",7
28,"good,great,people,right,time,truth",5
29,"baptist,church,four,november,spotswood,year",11
30,"dude,guy,like,people,plus,youre",10
31,"like,people,well",4
32,"cocacola,doe,im,people,right,time",5
33,"agent,castillo,cia,dea,drug,fbi",7
34,"america,american,christian,liberal,nyjah,wasteland",12
35,"agent,cia,dea,drug,morrison,social",9
36,"agent,asia,camarena,drug,enrique,trade",7
37,"agent,cia,fbi,intelligence,investigator,service",7
38,cia,7
39,"1st,agencyhttpsnp,amendment,government,govt,security",1
40,"cia,conservative,control,corporation,elite,government",1
41,"donald,election,kushner,power,president,trump",9
42,"drug,life,north,oliver,people,ring",7
43,"agent,cartel,cia,drug,mexican,mexico",7
44,"300,company,contra,drug,meneses,norwin",9
45,"affair,cia,contra,drug,one,real",9
46,"11,600,march,million,north,oliver",11
47,"agent,dale,dea,kiki,peter,scott",11
48,"conspiracy,every,greatest,one,people,real",9
49,"first,good,great,right,second,time",5
50,"effect,great,justice,social,special,time",5
51,"justice,luciano,lucky,real,social,working",1
52,agent,1
53,"cialdini,enterprise,head,panamanian,special,story",1
54,"agent,george,harrison,lawrence,marshall,victor",7
55,"agent,cia,harrison,lawrence,marshall,victor",7
56,"city,dale,like,peter,scott",11
57,"call,like,one,people,social,world",8
58,"district,edward,many,post,rafeedie,washington",1
59,"agent,dea,fbi,fbicia,headquarters,report",7
60,blandon,1
61,"entertainment,life,matrix,news,people,social",0
62,"36,country,elite,news,operation,two",7
63,"evidence,first,history,real,story,whole",1
64,"disney,life,northeast,pennsylvania,rqanoncasualties,walt",1
65,torres,1
66,"social,video",1
67,"agent,berrellez,cartel,dea,drug,intelligence",7
68,"angeles,channel,election,elite,government,people",9
69,"almost,case,guy,one,people,post",5
70,"criminal,dea,division,doj,head,headquarters",7
71,"fluor,language,witness",5
72,"government,gregg,herbert,pentagon,video,walker",1
73,"agent,chretian,dea,fbi,head,report",7
74,"berrellez,dea,deacia,hector,justin,trudeau",1
75,"cia,dea,fbi,oig,report,senate",7
76,"471988,betzner,central,interview,kerry,wayne",5
77,"america,bank,central,felix,gallardo,social",5
78,"american,black,cockburn,half,job,many",7
79,"american,cartel,central,germany,native,south",12
80,"administration,american,citizen,embassy,patriot,people",2
81,"american,cockburn,job,many,public",7
82,"agency,american,good,many,people,truth",5
83,"america,american,christian,fuck,gasser,many",5
84,"america,american,bank,government,million,native",2
85,"255,american,cia,decade,many,million",2
86,"group,interagency,north,nsdd2,restricted,rig",1
87,christian,1
88,"agent,america,american,citizen,lol,people",2
89,"america,american,government,native,nyjah,patriot",2
90,"alex,democratic,gary,lasry,senate,webb",1
91,"hillary,jenna,president,rally,sidney,trump",1
92,"19,company,energy,million,power,red",1
93,"agent,contra,drug,north,oliver,ring",7
94,"bulkpower,company,power,system,texas,transformer",1
95,"behind,capitol,guard,hill,logic,maryland",9
96,"district,edward,kennedy,rafeedie,trial,william",1
97,"act,donald,jenna,president,sidney,trump",1
98,"campaign,donald,mission,next,president,trump",1
99,"10,conspiracy,farc,league,levine,michael",1
100,"donald,grand,gregg,mcdonalds,mr,north",1
101,"control,elite,night,people,power,rich",9
102,"alex,fox,jones,limbaugh,news,trump",1
103,"conspiracy,donald,new,trump",3
104,"biden,every,trump",3
105,trump,1
106,"act,like,patriot,president,stand,trump",1
107,biden,7
108,"biden,force,president,rica,task,vice",9
109,"big,lie",9
110,"case,current,ive,many,time,year",7
111,"president,reagan",1
112,"bush,president,reagan,ronald,vice,vp",1
113,"biden,dem,great,medal,president,win",5
114,"living,man,many,one,people,trump",3
115,"biden,eo,hunter,new,president",3
116,"hemisphere,high,interview,meneses,norwin",5
