,obj1,rel,obj2,date
0,people,see,"jared,jesus,people,stacy",20210221
1,people,lies,"jared,stacy",20210221
2,people,rely,"many,people",20210221
3,people,are,people,20210221
4,people,not_not {have},"lie,life,one,people,real,social",20210221
5,people,want,"executive,life,north,oliver,people,rivera",20210221
6,people,is,"good,great,ive,people,right,truth",20210221
7,people,developed,"good,great,people,right,time,truth",20210221
8,people,is,"conspiracy,fuck,lie,like,people,real",20210221
9,"baptist,church,spotswood",tainted,"jared,stacy",20210221
10,"bush,district,fredericksburg,government,illuminati,trump",claims,"jared,reuters,stacy",20210221
11,"bush,district,fredericksburg,government,illuminati,trump",brainwashed,"justice,luciano,lucky,real,social,working",20210221
12,"bush,district,fredericksburg,government,illuminati,trump",leading,"agent,castillo,cia,dea,drug,fbi",20210221
13,"bush,district,fredericksburg,government,illuminati,trump",go,agent,20210221
14,"bush,district,fredericksburg,government,illuminati,trump",is,cia,20210221
15,"bush,district,fredericksburg,government,illuminati,trump",is,"cialdini,enterprise,head,panamanian,special,story",20210221
16,"bush,district,fredericksburg,government,illuminati,trump",have,"agent,dale,dea,kiki,peter,scott",20210221
17,"bush,district,fredericksburg,government,illuminati,trump",'s,"cia,conservative,control,corporation,elite,government",20210221
18,"bush,district,fredericksburg,government,illuminati,trump",requires,"america,american,bank,government,million,native",20210221
19,"bush,district,fredericksburg,government,illuminati,trump",accuse,"agent,cia,fbi,intelligence,investigator,service",20210221
20,"bush,district,fredericksburg,government,illuminati,trump",charge,"district,edward,kennedy,rafeedie,trial,william",20210221
21,"bush,district,fredericksburg,government,illuminati,trump",chose,"1st,agencyhttpsnp,amendment,government,govt,security",20210221
22,"bush,district,fredericksburg,government,illuminati,trump",signed,"19,company,energy,million,power,red",20210221
23,"bush,district,fredericksburg,government,illuminati,trump",says,"alex,fox,jones,limbaugh,news,trump",20210221
24,"bush,district,fredericksburg,government,illuminati,trump",made,trump,20210221
25,"bush,district,fredericksburg,government,illuminati,trump",not_not {cause},"act,like,patriot,president,stand,trump",20210221
